source,disease,type,text,meta
knowledge_graph,Diabetes,Type II Diabetes,"Type 2 diabetes is often associated with insulin resistance and may involve testing for  Insulin levels and C-peptide levels: The diagnosis of type II diabetes should be determined according to the curve shape of the values of C-peptide release test and insulin release test in different states,for example,fasting,30min,60min,120min,180min. Able-bodied person:fasting basic plasma insulin is 5-20mlU/L,OGTT reached the peak value after 10min,and insulin returns to the basic level after 180 min;fasting C-peptide level was 1.1-4.4ng/ml,the secretion reached the peak which reaches 5-6 times of the basic value. Pre-diabetic patients:often in early stage type II diabetes, insulin levels may be normal or high. Classic type II diabetes:fasting insulin levels are normal or  above the  normal range.the peak is delayed after oral glucose,may reach the peak at 120min,but did not fall to the normal levels at 180min;fasting C-peptide level can be normal,high or low,the release curve rises slowly after taking sugar,the peak is delayed,and the release curve still does not fall back to the fasting level after 180 min. C-peptide testing can help evaluate the function of pancreatic beta cells and their ability to produce insulin.",{'path': 'Type II Diabetes'}
knowledge_graph,Diabetes,Specific Types of Diabetes,Due to other conditions,{'path': 'Specific Types of Diabetes'}
knowledge_graph,Diabetes,Gestational Diabetes Mellitus,Diagnosed during pregnancy through glucose testing strategies that may include the OGTT,{'path': 'Gestational Diabetes Mellitus'}
knowledge_graph,Acute Coronary Syndrome,Risk Factors,"Hyperlipidemia, hypertension, smoking, diabetes, infection, hyperthyroidism, severe arrhythmia, anemia, hypoxemia; etc.",{'path': 'Suspected ACS → Risk Factors'}
knowledge_graph,Acute Coronary Syndrome,Symptoms,"Chest pain, sweating, nausea, vomiting, palpitations, dyspnea, arrhythmia with weakness, dizziness or syncope, hypotensive shock, acute left heart failure; etc.",{'path': 'Suspected ACS → Symptoms'}
knowledge_graph,Acute Coronary Syndrome,Strongly Suspected ACS,More severe clinical presentations; slight cardiac structural abnormalities;Coronary stenosis,{'path': 'Strongly Suspected ACS'}
knowledge_graph,Acute Coronary Syndrome,NSTE-ACS,non-ST-elevation,{'path': 'NSTE-ACS'}
knowledge_graph,Acute Coronary Syndrome,UA,hs-cTn levels are normal，Normal ECG,{'path': 'UA'}
knowledge_graph,Acute Coronary Syndrome,NSTEMI,"The peak hs-cTn exceeded the 99th percentile of the normal control value; Elevated levels of cardiac biomarkers, especially troponin T or I ",{'path': 'NSTEMI'}
knowledge_graph,Acute Coronary Syndrome,STEMI-ACS,"ST-elevation; ECG Wide and deep Q waves;T-wave inversion hs-cTn increases at 3-4 hours and peaks at 11-12 hours;Elevated levels of cardiac biomarkers, especially troponin T or I",{'path': 'STEMI-ACS'}
knowledge_graph,Heart Failure,Risk Factors,"CAD, Hypertension, Valve disease, Arrhythmias, CMPs, Congenital heart disease, Infective, Drug-induced, Infiltrative, Storage disorders, Endomyocardial disease, Pericardial disease, Metabolic, Neuromuscular disease; etc.",{'path': 'Suspected Heart Failure → Risk Factors'}
knowledge_graph,Heart Failure,Symptoms,"Typical: Breathlessness, Orthopnoea, Paroxysmal nocturnal dyspnoea, Reduced exercise tolerance, Fatigue, tiredness, increased time to recover after exercise, Ankle swelling. Less typical: Nocturnal cough, Wheezing, Bloated feeling, Loss of appetite, Confusion (especially in the elderly), Depression, Palpitation, Dizziness, Syncope.; etc.",{'path': 'Suspected Heart Failure → Symptoms'}
knowledge_graph,Heart Failure,Signs,"More specific: Elevated jugular venous pressure, Hepatojugular reflux, Third heart sound (gallop rhythm), Laterally displaced apical impulse. Less specific: Weight gain (>2 kg/week), Weight loss (in advanced HF), Tissue wasting (cachexia), Cardiac murmur, Peripheral edema (ankle, sacral, scrotal), Pulmonary crepitations, Pleural effusion, Tachycardia, Irregular pulse, Tachypnoea, Cheyne-Stokes respiration, Hepatomegaly, Ascites, Cold extremities, Oliguria,  Narrow pulse pressure.",{'path': 'Suspected Heart Failure → Signs'}
knowledge_graph,Heart Failure,Strongly Suspected Heart Failure,"NT-proBNP ≥ 125 pg/mLor BNP ≥ 35 pg/mL
",{'path': 'Strongly Suspected Heart Failure'}
knowledge_graph,Heart Failure,Heart Failure,"Abnormal findings from echocardiography：LV mass index≥95 g/m2 (Female), ≥ 115 g/m2 (Male), Relative wall thickness >0.42, LA volume index>34 mL/m2, E/e’ ratio at rest >9, PA systolic pressure >35 mmHg, TR velocity at rest >2.8 m/s, etc.",{'path': 'Heart Failure'}
knowledge_graph,Heart Failure,HFrEF,LVEF≤40%,{'path': 'HFrEF'}
knowledge_graph,Heart Failure,HFmrEF,LVEF41–49%,{'path': 'HFmrEF'}
knowledge_graph,Heart Failure,HFpEF,LVEF≥50%,{'path': 'HFpEF'}
knowledge_graph,Alzheimer,Risk Factors,"Age; genetic factors; gender; cardiovascular health; head trauma; intellectual activity; lifestyle and diet; other diseases such as diabetes, depression, and sleep disorders.; etc.",{'path': 'Suspected Alzheimer → Risk Factors'}
knowledge_graph,Alzheimer,Symptoms,"Cognitive decline, including memory loss and deterioration of other functions; impairment in at least two cognitive areas; progressive decline in memory and cognition without loss of consciousness; typically occurs between ages 40 and 90, with higher frequency after 65; absence of other systemic or brain diseases to explain the decline; specific cognitive functions may deteriorate, such as language, motor skills, and perception; difficulty in daily activities and changes in behavior; family history of similar disorders, especially if confirmed by neuropathology; additional symptoms may include depression, insomnia, incontinence, delusions, hallucinations, outbursts, sexual disorders, and weight loss; some patients may exhibit neurological abnormalities like increased muscle tone, myoclonus, or gait disturbances; seizures may occur in advanced stages.  ; etc.",{'path': 'Suspected Alzheimer → Symptoms'}
knowledge_graph,Alzheimer,Alzheimer,"1. Clinical Assessment
    Detailed medical history and neuropsychological tests: Evaluate the patient's cognitive functions, including memory, attention, language abilities, executive functions, and visuospatial skills.
    Neuropsychological assessment tools: Such as the Mini-Mental State Examination (MMSE) and the Montreal Cognitive Assessment (MoCA).
2. Imaging Studies
    Magnetic Resonance Imaging (MRI): Used to check for structural changes in the brain, particularly atrophy in the hippocampus and other memory-related areas.
    Positron Emission Tomography (PET):
        FDG-PET: Assesses brain metabolic activity; patients with Alzheimer's disease typically show reduced glucose metabolism in the temporal-parietal lobes.
        Amyloid PET: Detects amyloid-beta deposits in the brain, a significant biomarker of Alzheimer's disease.
3. Cerebrospinal Fluid (CSF) Biomarkers
    Amyloid-beta 42 (Aβ42): In patients with Alzheimer's, the level of Aβ42 in the CSF is typically reduced.
    Total tau and phosphorylated tau proteins: Levels of these markers are usually elevated in the CSF of patients with Alzheimer's.
4. Genetic Testing
    APOE ε4 allele: This is one of the most significant genetic markers known to be associated with an increased risk of Alzheimer's disease.
",{'path': 'Alzheimer'}
knowledge_graph,Pituitary Disease,Risk Factors,"family history; Genetic syndromes (MEN1, MEN4, McCune-Albright syndrome; Carney complex; Familial Isolated Pituitary Adenoma); Age (30s-40s); Ethnic background (Ashkenazi Jewish descent); Sex (women more likely for certain adenomas); etc.",{'path': 'Suspected Pituitary Disease → Risk Factors'}
knowledge_graph,Pituitary Disease,Symptoms,"Typical: Headaches, Vision problems (blurred vision, double vision, loss of peripheral vision); Unexplained weight changes; Fatigue; Changes in menstrual cycle or sexual function; Increased growth in hands and feet (acromegaly); 
                                          High blood pressure; High or low blood sugar levels; Mood changes. Less typical: Facial numbness or pain; Dizziness; Loss of consciousness; Unexplained lactation; Feeling cold; Erectile dysfunction in men; Growth of breast tissue in men; Decreased interest in sex; etc.",{'path': 'Suspected Pituitary Disease → Symptoms'}
knowledge_graph,Pituitary Disease,Signs,"Visual field defects; Features of hormonal excess (e.g., acromegaly signs, Cushingoid appearance); Pituitary apoplexy symptoms (sudden headache, vomiting, visual changes, possibly coma); etc.",{'path': 'Suspected Pituitary Disease → Signs'}
knowledge_graph,Pituitary Disease,Pituitary Microadenomas,"Pituitary adenomas that are less than 1 centimeter (10 millimeters) in size are called microadenomas. ; The gold standard diagnosis is through magnetic resonance imaging (MRI), which can accurately show the size and location of adenomas. ",{'path': 'Pituitary Microadenomas'}
knowledge_graph,Pituitary Disease,Pituitary Macroadenomas,"Pituitary adenomas that are 1 cm or larger in size are called macroadenomas. In addition to MRI, giant adenomas may also cause symptoms through their compression of surrounding structures, such as vision problems, in which case visual field testing is also required.",{'path': 'Pituitary Macroadenomas'}
knowledge_graph,Pituitary Disease,Pituitary  Silent Adenomas ,"Nonfunctioning adenomas are pituitary adenomas that do not produce physiologically active levels of hormone, and they do not cause the clinical symptoms associated with hormone excess. Often discovered incidentally during MRI examinations, they are so-called incidentalomas",{'path': 'Pituitary  Silent Adenomas '}
knowledge_graph,Upper Gastrointestinal Bleeding,Risk Factors,peptic ulcers; prolonged use of nonsteroidal anti-inflammatory drugs (NSAIDs); Helicobacter pylori infection; esophageal varices; alcohol abuse; tumors; anticoagulant medications; stress ulcers; esophagitis or gastritis.; etc.,{'path': 'Suspected Upper Gastrointestinal Bleeding → Risk Factors'}
knowledge_graph,Upper Gastrointestinal Bleeding,Symptoms,"hematemesis (vomiting of red blood or coffee-grounds material); melena (black, tarry stool), or hematochezia (passage of red or maroon material per rec-tum); anemia; Hemorrhagic peripheral circulatory collapse(dizziness, palpitations, fatigue, fainting when standing up suddenly from a flat position, cold sensation of the limbs, increased heart rate, and low blood pressure);fever;zaotemia.; etc.",{'path': 'Suspected Upper Gastrointestinal Bleeding → Symptoms'}
knowledge_graph,Upper Gastrointestinal Bleeding,Upper Gastrointestinal Bleeding,"Bleeding outside the digestive tract was excluded: Melena caused by eating and bleeding from the respiratory tract mouth, nose, and throat were excluded.
Gastroscopy: Bleeding is observed or has stopped
",{'path': 'Upper Gastrointestinal Bleeding'}
knowledge_graph,Cardiomyopathy,Risk Factors,"Genetic predisposition, Long-standing high blood pressure, Viral infections, Alcohol and toxins, Metabolic disorders and nutritional deficiencie; etc.",{'path': 'Suspected Cardiomyopathy → Risk Factors'}
knowledge_graph,Cardiomyopathy,Symptoms,"Fatigue and weakness, Shortness of breath, Swelling of the legs and ankles, Arrhythmias, Chest pain; etc.",{'path': 'Suspected Cardiomyopathy → Symptoms'}
knowledge_graph,Cardiomyopathy,Dilated Cardiomyopathy,"Echocardiogram: Demonstrates enlargement of the left ventricle or both ventricles and reduced contractile function. Specific values include increased Left Ventricular End-Diastolic Diameter (LVEDD) and a Left Ventricular Ejection Fraction (LVEF) below the normal range (<50%).
ECG: May reveal signs of abnormal rhythms or ventricular enlargement.
MRI: Can further assess cardiac structure and function, confirming ventricular volume enlargement and myocardial mass increase.
Cardiac catheterization and endomyocardial biopsy: In certain cases, these may be necessary to determine the heart's pressures and pumping efficiency and to directly examine the heart muscle tissue.
",{'path': 'Dilated Cardiomyopathy'}
knowledge_graph,Cardiomyopathy,Hypertrophic Cardiomyopathy,"Echocardiogram: Increased thickness of the myocardial wall (typically >15mm) without any other cardiac disease that could explain the thickening.
MRI: Used for a detailed assessment of myocardial thickness and to detect areas of hypertrophy that might not be visible on an echocardiogram
",{'path': 'Hypertrophic Cardiomyopathy'}
knowledge_graph,Cardiomyopathy,Restrictive Cardiomyopathy,"Echocardiogram: Shows normal or nearly normal ventricular sizes and wall thickness but abnormal ventricular filling and mitral inflow patterns indicative of restrictive filling.
MRI: Helps assess cardiac structure, particularly for any fibrosis or calcification of the myocardium and pericardium.
Cardiac catheterization: Measures intracardiac pressures, showing elevated pressures during mitral inflow, consistent with a typical restrictive filling pattern.
",{'path': 'Restrictive Cardiomyopathy'}
knowledge_graph,Cardiomyopathy,Arrhythmogenic Right Ventricular Cardiomyopathy,"Echocardiogram: May reveal specific arrhythmias, T-wave inversions in right ventricular leads, and epsilon waves on the ECG
ECG: Shows enlargement and dysfunction of the right ventricle.
MRI: Visualizes fatty infiltration and/or scarring of the right ventricle.
Cardiac Biopsy: In some cases, can diagnose by detecting fat and fibrous tissue changes in the myocardium.
",{'path': 'Arrhythmogenic Right Ventricular Cardiomyopathy'}
knowledge_graph,Multiple Sclerosis,Risk Factors,"Gender and age: MS is more common in women than men, with the onset usually occurring between the ages of 15 and 50. Location of the lesion: The signs and symptoms of MS depend on the location of the lesion in the central nervous system. Genetic and environmental factors: Although not specifically mentioned in the literature, it is generally believed that genetic and environmental factors (such as viral infections, smoking, vitamin D deficiency) may play a role in the pathogenesis of MS.; etc.",{'path': 'Suspected Multiple Sclerosis → Risk Factors'}
knowledge_graph,Multiple Sclerosis,Symptoms,"Inflammation, demyelination, and axonal damage. Vision loss: usually in one eye and may be painful. Double vision or blurred vision. Lhermitte phenomenon: An electric shock-like sensation when the neck is tilted forward. Motor or sensory impairment: In the central nervous system distribution area.
; etc.",{'path': 'Suspected Multiple Sclerosis → Symptoms'}
knowledge_graph,Multiple Sclerosis,Multiple Sclerosis,"MRI: MRI is one of the most important tools for diagnosing MS, showing areas of damage (called lesions or plaques) in the brain and spinal cord. MRI can detect damage to myelin, a key feature of MS.
CSF Analysis: A sample of cerebrospinal fluid is obtained through a lumbar puncture (spinal tap) and analyzed for the presence of immune system activity, which is common in people with MS. CSF analysis may show abnormal immunoglobulin G (IgG) levels and oligoclonal bands, which are hallmarks of MS.    
Visual Evoked Potentials, VEPs: In people with MS, visual pathways may have conduction delays due to damage to myelin sheaths
             ",{'path': 'Multiple Sclerosis'}
knowledge_graph,Multiple Sclerosis,Relapsing-Remitting Multiple Sclerosis,"Clinical Presentation: At least two clinical attacks, each with symptoms indicating involvement of different central nervous system (CNS) areas. The condition has distinct attacks (relapses) and remission periods. During an attack, symptoms suddenly worsen, followed by a remission phase in which symptoms partially or completely subside and the condition remains stable without significant progression.
MRI:Presence of at least two distinct lesions in different CNS locations consistent with demyelination. Utilization of weighted imaging and contrast enhancement to demonstrate the presence and evolution of new and old lesions.
Cerebrospinal Fluid (CSF):Detection of oligoclonal bands (OCB) or elevated IgG index (value above 0.7).",{'path': 'Relapsing-Remitting Multiple Sclerosis'}
knowledge_graph,Multiple Sclerosis,Primary Progressive Multiple Sclerosis,"Clinical Presentation: Disease progression from onset without distinct relapses.
Disease Duration: Progression for at least 1 year.
MRI:Presence of at least two T2-weighted lesions in the brain and/or spinal cord.
Cerebrospinal Fluid (CSF):Detection of oligoclonal bands or elevated IgG index (value above 0.7).",{'path': 'Primary Progressive Multiple Sclerosis'}
knowledge_graph,Multiple Sclerosis,Secondary Progressive Multiple Sclerosis,"Clinical Presentation: Initially presents as RRMS, later transitioning to sustained worsening of disease with or without new relapses.
Disease Duration: Progression to SPMS at least 3 years after RRMS diagnosis.
MRI:Continued increase in the number of CNS lesions.
Cerebrospinal Fluid (CSF):Confirmation of persistent oligoclonal bands or elevated IgG index.",{'path': 'Secondary Progressive Multiple Sclerosis'}
knowledge_graph,Multiple Sclerosis,Benign Multiple Sclerosis," Clinical Presentation: After 10 years, maintains good function with minimal disability (EDSS score ≤ 3).
Long-Term Observation: Approximately 55% of patients maintain low disability status over the next 10 years.
MRI:May show fewer CNS lesions, with slow lesion progression.
",{'path': 'Benign Multiple Sclerosis'}
knowledge_graph,Pneumonia,Risk Factors,"Exposure to pathogens (e.g., in community, hospitals, or through travel); Smoking and chronic lung diseases (COPD, asthma);OSA; Immunosuppressive conditions (HIV/AIDS, use of immunosuppressive drugs); Elderly age; Comorbidities (diabetes, heart disease); etc.",{'path': 'Suspected Pneumonia → Risk Factors'}
knowledge_graph,Pneumonia,Symptoms,"Typical: Cough (dry or productive of sputum), fever, chills, dyspnea (shortness of breath), Less typical: Chest pain, headache, fatigue, myalgia (muscle pain).; etc.",{'path': 'Suspected Pneumonia → Symptoms'}
knowledge_graph,Pneumonia,Signs,"More specific: Crackles and/or wheezing on lung auscultation, tachypnea (increased respiratory rate), fever, cyanosis (bluish skin color due to lack of oxygen). Less specific: Hypotension, tachycardia (increased heart rate), altered mental status in severe cases.; etc.",{'path': 'Suspected Pneumonia → Signs'}
knowledge_graph,Pneumonia,Pneumonia,"Radiological examination: Chest X-rays or CT scans are the most commonly used methods and can show areas of inflammation in the lungs. On X-ray or CT images, inflammation appears as localized shadows or infiltrative lesions.
Microbiological tests: Identification of the causative pathogen can be confirmed through microbial cultures and PCR tests of body fluids such as sputum, blood, or bronchoalveolar lavage fluid.
Complete blood count (CBC): An increased white blood cell count in the CBC is commonly associated with infection but is not a specific indicator.
Blood gas analysis: For patients with severe pneumonia, blood gas analysis can help assess oxygenation and acid-base balance.
C-reactive protein and other inflammatory markers: Levels of these markers typically rise during infections, but they also lack specificity.
",{'path': 'Pneumonia'}
knowledge_graph,Pneumonia,Bacterial Pneumonia,Detection of specific bacteria by PCR or other molecular biology methods. Or suppuration caused by bacteria,{'path': 'Bacterial Pneumonia'}
knowledge_graph,Pneumonia,Viral Pneumonia,PCR technology detects the genetic material of a specific virus,{'path': 'Viral Pneumonia'}
knowledge_graph,Aortic Dissection,Risk Factors,"Hypertension, Atherosclerosis, Family history, High cholesterol, Smoking, Inherited connective tissue disorders, Previous cardiac surgery, Pregnancy; etc.",{'path': 'Suspected Aortic Dissection → Risk Factors'}
knowledge_graph,Aortic Dissection,Symptoms,"Intense chest or upper back pain, Sudden severe abdominal pain, Loss of consciousness, Shortness of breath, Weakness or paralysis, Weak pulse in one arm or thigh, Leg pain, Difficulty speaking or loss of vision; etc.",{'path': 'Suspected Aortic Dissection → Symptoms'}
knowledge_graph,Aortic Dissection,Type A Aortic Dissection,"CT, MRI, TEE checking
Type A: Dissection affecting the ascending aorta and possibly extending into the descending aorta
",{'path': 'Type A Aortic Dissection'}
knowledge_graph,Aortic Dissection,Type B Aortic Dissection,"CT, MRI, TEE checking
Type B: Dissection limited to descending aorta
",{'path': 'Type B Aortic Dissection'}
